####################################################################################################
# ACE v0.9d+ Filelists                                                                             #
####################################################################################################
# Format:                                                                                          #
# <Whitelist identifier>                                                                           #
# <FileName><TAB>+<FileSize><TAB>+<MD5 Hash><TAB>+<File Identifier><TAB>+<Hacked>?                 #
# <FileName><TAB>+<FileSize><TAB>+<MD5 Hash><TAB>+<File Identifier><TAB>+<Hacked>?                 #
# <Signature>                                                                                      #
#                                                                                                  #
# Guidelines:                                                                                      #
# > Values must be separated by one or more tabs (hence: <TAB>+)                                   #
# > <FileSize> = -1 => All sizes allowed                                                           #
# > <MD5 Hash> = x  => All hashes allowed                                                          #
# > The <Hacked> value is optional                                                                 #
# > Empty lines are ignored                                                                        #
# > Anything behind a '#' char is ignored                                                          #
#                                                                                                  #
####################################################################################################
ACE_20241228_A

##################################################################################################################################
# Filename              Size            MD5 Hash                                Identifier                              Hacked?  #
##################################################################################################################################
ACEV12C_C.U				77709			58F4C710753E75E91A3EB86FB7568B0F		ACE v1.2c for UEngine 1
ACEV12C_C.U				27237			67DB6594A4D892AEEDD7D4FD1155745C		ACE v1.2c for UEngine 1
ACEV12D_C.DLL			659968			15A1F30B309CBCB00DB026CAB10C41AB		ACE v1.2d for UEngine 1
ACEV12D_C.DLL			659968			46501DA8D47585C3DC9A81744E3F93EA		ACE v1.2d for UEngine 1
ACEV12D_C.DLL			659968			7855BC1F53A6D7BF987C0ABB66D3FC4D		ACE v1.2d for UEngine 1
ACEV12D_C.U				27865			3AAD087A2E75DC7B4FE2AF8518028D36		ACE v1.2d for UEngine 1
ACEV12E_C.DLL			648704			62F2FB0D66373BC00E85B93BF7E6B2E9		ACE v1.2e for UEngine 1
ACEV12E_C.DLL			648704			38BBF42B84D856C4B78EF60A568B3FBD		ACE v1.2e for UEngine 1
ACEV12E_C.DLL			648704			80B1E8EF015496774E861BB083573B41		ACE v1.2e for UEngine 1
ACEV12E_C.DLL			778240			28B2DF528BB1F39D68AA13AE2B1E5AF5		ACE v1.2e for UEngine 1 - Unicode fix
ACEV12E_C.U				28041			74BDEFE96F40A307A3C076CD671E8077		ACE v1.2e for UEngine 1
ACEV13A_C.DLL			778752			F2BD2899490F09573CC035F3B27B62A1		ACE v1.3a for UEngine 1
ACEV13A_C.DLL			779264			BB0D699F3CACB6C9F5276DCAD3075331		ACE v1.3a for UEngine 1
ACEV13A_C.DLL			779264			3F752BAA114688E3783FFFD29783D544		ACE v1.3a for UEngine 1
ACEV13A_C.U				27529			CD70B0C9A0D7624985FAE540B4E59D80		ACE v1.3a for UEngine 1
ACEV13B_C.DLL			779776			370842AF60AD65843AF9A003007C81CE		ACE v1.3b for UEngine 1
ACEV13B_C.DLL			779776			526CEF447BAC0727C5D65F15FE8BAAD1		ACE v1.3b for UEngine 1
ACEV13B_C.U				27544			2E8E60E5F51151638F20866E5D55F3EF		ACE v1.3b for UEngine 1
ACEV13C_C.DLL			968464			487DB6830084B338C3BCC267780E33B0		ACE v1.3c for UEngine 1
ACEV13C_C.DLL			968464			C0C862DAC43D644CB9102B317116E5D7		ACE v1.3c for UEngine 1
ACEV13C_C.U				27533			434033DF011DFE2C65F522D5337AB273		ACE v1.3c for UEngine 1
ACEV13D_C.DLL			968464			936FA318BF23B3E431C170EA46AA7FF2		ACE v1.3d for UEngine 1
ACEV13D_C.DLL			968464			055F40F6F0C04969FF959F8051A70A34		ACE v1.3d for UEngine 1
ACEV13D_C.U				27533			677ACB76D2273F37D1CD7F8E888E1BA3		ACE v1.3d for UEngine 1
ACEV13E_C.DLL			877568			75DB82F297426BCFD526CF1ACC443EF6		ACE v1.3e for UEngine 1
ACEV13E_C.DLL			877568			86B456BB180E307843BD5D963E151339		ACE v1.3e for UEngine 1
ACEV13E_C.U				27533			73CD4904A5C0E3C55BFFB634612D3743		ACE v1.3e for UEngine 1
ACEV13F_C.DLL			840704			72141345DB90DCCBEEB6B6732984E0D7		ACE v1.3f for UEngine 1
ACEV13F_C.DLL			888832			B393E78A4B275CFD6B5BC4D70326C585		ACE v1.3f for UEngine 1
ACEV13F_C.U				27533			90F56749A22296A728C765CB345DA8DE		ACE v1.3f for UEngine 1
ACEV13G_C.DLL			900608			E269D066E82A5070B7B93B31E5DA6CF3		ACE v1.3g for UEngine 1
ACEV13G_C.DLL			900608			BBC63F61D33309E880A8087C5A4B5FEB		ACE v1.3g for UEngine 1
ACEV13G_C.U				27533			9193C669E07D3094D9356F23DB8FA1C5		ACE v1.3g for UEngine 1
ACEV13H_C.DLL			832000			34D9327DC59AA1D820D1BA90B7CA6CB3		ACE v1.3h for UEngine 1 - Legacy
ACEV13H_C.DLL			842240			0E068C2153F69DC1D110523061F9CBDF		ACE v1.3h for UEngine 1
ACEV13H_C.DLL			827904			1B095B3C2D4233F15D9D4677BDBE4282		ACE v1.3h for UEngine 1
ACEV13H_C.U				27533			D0F18E8E03092BE12E6D59588970BE83		ACE v1.3h for UEngine 1
ACEV13I_C.DLL			843912			C94C59F17EBDB1F20D41330A3E3EF180		ACE v1.3i for UEngine 1 - Legacy
ACEV13I_C.DLL			854152			11908A5261915CECCEB220D56976BFC1		ACE v1.3i for UEngine 1
ACEV13I_C.DLL			840840			E93A444D3DAAD3FA4A47B836949FEACA		ACE v1.3i for UEngine 1
ACEV13I_C.U				27533			68DD009999B4CB025236A7C11B52DF35		ACE v1.3i for UEngine 1
ACEV13J_C.DLL			843912			2EFE2E8F148E76B2AAA7A09B35837C3C		ACE v1.3j for UEngine 1 - Legacy
ACEV13J_C.DLL			854152			4010FC2788EF1082EBC7F6A17B959378		ACE v1.3j for UEngine 1
ACEV13J_C.DLL			840840			B559236DD0F9805085DD37571901480B		ACE v1.3j for UEngine 1
ACEV13J_C.U				27533			52051E55B0D5E56091B35CFE512A85C9		ACE v1.3j for UEngine 1
ACEV13K_C.DLL			843912			ACAAE901BA57C04ED548A5749078D5F4		ACE v1.3k for UEngine 1 - Legacy
ACEV13K_C.DLL			854152			E32475779F3F26C7D6333E41B918729B		ACE v1.3k for UEngine 1
